tconst,nconst,category,primaryName,birthYear,deathYear
tt0035423,nm0003506,director,James Mangold,1963,
tt0036606,nm0705535,director,Michael Radford,1946,
tt0048550,nm0139569,director,Paul Carpita,1922,2009
tt0065530,nm0195327,director,Claude d'Anna,1945,
tt0067100,nm0379391,director,Cirio H. Santiago,1936,2008
tt0069049,nm0000080,director,Orson Welles,1915,1985
tt0073537,nm0385089,director,William Byron Hillman,1940,
tt0075745,nm0001699,director,Telly Savalas,1922,1994
tt0075788,nm0387337,director,Leonard Ho,1925,1997
tt0076733,nm0786891,director,Delphine Seyrig,1932,1990
tt0077428,nm0004654,director,Nicolas Gessner,1931,2023
tt0077567,nm0283241,director,Calvin Floyd,1931,2014
tt0078178,nm0659739,director,Robert Pansard-Besson,1950,2011
tt0078785,nm0631230,director,Edouard Niermans,1943,
tt0078806,nm0250006,director,George Edwards,1924,1991
tt0078895,nm0500609,director,Christopher Leitch,,
tt0078923,nm0007069,director,Pierre Richard,1934,
tt0078935,nm0219959,director,Ruggero Deodato,1939,2022
tt0078962,nm0001031,director,Claude Chabrol,1930,2010
tt0079106,nm0257992,director,Robert Enrico,1931,2001
tt0079109,nm0239381,director,Bernard Dubois,1945,
tt0079145,nm0092372,director,Yves Boisset,1939,2025
tt0079252,nm0491626,director,Georges Lautner,1926,2013
tt0079285,nm0002045,director,Stanley Donen,1924,2019
tt0079497,nm0184170,director,Raoul Coutard,1924,2016
tt0079630,nm0859387,director,Ralph Thomas,1915,2001
tt0079820,nm0342156,director,Paul Grimault,1905,1994
tt0079854,nm0000419,director,Jean-Luc Godard,1930,2022
tt0080031,nm0911926,director,William Wiard,1927,1987
tt0080164,nm0434211,director,George Kaczender,1933,2016
tt0080319,nm0383359,director,Colin Higgins,1941,1988
tt0080321,nm0228011,director,Eric Dionysius,,
tt0080321,nm0592966,director,Eric Mistler,,
tt0080339,nm0000720,director,Jim Abrahams,1944,2024
tt0080339,nm0001878,director,David Zucker,1947,
tt0080339,nm0958387,director,Jerry Zucker,1950,
tt0080346,nm0676248,director,Fred Olen Ray,1954,
tt0080367,nm0126864,director,José Bénazéraf,1922,2012
tt0080373,nm0849609,director,Alain Tanner,1929,2022
tt0080377,nm0887174,director,Buddy Van Horn,1928,2021
tt0080379,nm0546672,director,Antonio Margheriti,1930,2002
tt0080380,nm0324875,director,Menahem Golan,1929,2014
tt0080388,nm0001501,director,Louis Malle,1932,1995
tt0080402,nm0001565,director,Mike Newell,1942,
tt0080412,nm0589228,director,Robert Ellis Miller,1927,2017
tt0080415,nm0320929,director,Francis Girod,1944,2006
tt0080421,nm0613471,director,Jimmy T. Murakami,1933,2014
tt0080431,nm0293113,director,Herb Freed,1935,
tt0080432,nm0481910,director,John Laing,,
tt0080436,nm0167195,director,Robert Clouse,1928,1997
tt0080437,nm0002087,director,Samuel Fuller,1912,1997
tt0080442,nm0000887,director,Harold Becker,1928,
tt0080447,nm0214964,director,Jamil Dehlavi,,
