tconst,genres
tt0035423,Comedy
tt0035423,Fantasy
tt0035423,Romance
tt0036606,Drama
tt0036606,War
tt0038687,Documentary
tt0038687,War
tt0048550,Drama
tt0065530,Drama
tt0067100,Action
tt0067100,Drama
tt0067100,Thriller
tt0069049,Drama
tt0073537,Crime
tt0073537,Drama
tt0073537,Horror
tt0075745,Drama
tt0075788,Documentary
tt0076733,Documentary
tt0077428,Comedy
tt0077428,Crime
tt0077567,Horror
tt0078178,Comedy
tt0078178,Drama
tt0078785,Drama
tt0078806,Drama
tt0078806,Horror
tt0078806,Thriller
tt0078895,Crime
tt0078895,Drama
tt0078895,Thriller
tt0078923,Comedy
tt0078935,Adventure
tt0078935,Horror
tt0078935,Adventure
tt0078935,Horror
tt0078962,Drama
tt0079106,Action
tt0079106,Drama
tt0079106,Romance
tt0079109,
tt0079145,Crime
tt0079145,Drama
tt0079145,Thriller
tt0079252,Action
tt0079252,Comedy
tt0079252,Crime
tt0079285,Adventure
tt0079285,Horror
tt0079285,Sci-Fi
tt0079497,Adventure
tt0079497,Drama
tt0079497,War
tt0079630,Comedy
tt0079630,Crime
tt0079630,Comedy
tt0079630,Crime
tt0079820,Animation
tt0079820,Family
tt0079820,Fantasy
tt0079854,Drama
tt0080031,Biography
tt0080031,Crime
tt0080031,Drama
tt0080031,Biography
tt0080031,Crime
tt0080031,Drama
tt0080031,Biography
tt0080031,Crime
tt0080031,Drama
tt0080164,Drama
tt0080319,Comedy
tt0080321,Documentary
tt0080321,Music
tt0080339,Comedy
tt0080346,Comedy
tt0080346,Horror
tt0080346,Sci-Fi
tt0080367,
tt0080373,Drama
tt0080377,Action
tt0080377,Comedy
tt0080379,Drama
tt0080379,Fantasy
tt0080379,Horror
tt0080380,Music
tt0080380,Musical
tt0080380,Sci-Fi
tt0080388,Crime
tt0080388,Drama
tt0080388,Romance
tt0080402,Horror
tt0080402,Horror
tt0080402,Horror
tt0080412,Comedy
tt0080412,Crime
tt0080412,Drama
tt0080415,Comedy
tt0080415,Drama
tt0080421,Action
tt0080421,Adventure
tt0080421,Sci-Fi
tt0080431,Horror
tt0080432,Crime
tt0080432,Drama
tt0080432,Mystery
tt0080436,Action
tt0080436,Comedy
tt0080436,Crime
tt0080437,Drama
tt0080437,War
tt0080437,Drama
tt0080437,War
tt0080442,Comedy
tt0080442,Crime
tt0080442,Drama
tt0080447,Drama
tt0080453,Adventure
tt0080453,Drama
tt0080453,Romance
tt0080455,Adventure
tt0080455,Comedy
tt0080455,Crime
tt0080464,Drama
tt0080464,Horror
tt0080466,Drama
tt0080472,Action
tt0080472,Adventure
tt0080472,Comedy
tt0080488,Comedy
tt0080489,Comedy
tt0080492,Biography
tt0080492,Comedy
tt0080492,Musical
tt0080501,Action
tt0080501,Action
tt0080509,Comedy
tt0080511,Comedy
tt0080511,Drama
tt0080513,Action
tt0080513,Drama
tt0080513,Sci-Fi
tt0080515,Comedy
tt0080515,Drama
tt0080516,Horror
tt0080516,Mystery
tt0080520,Comedy
tt0080520,Crime
tt0080520,Comedy
tt0080520,Crime
tt0080521,
tt0080523,Comedy
tt0080523,Crime
tt0080523,Comedy
tt0080523,Crime
tt0080527,Horror
tt0080527,Sci-Fi
tt0080536,Drama
tt0080541,Comedy
tt0080541,Drama
tt0080541,Music
tt0080545,Adventure
tt0080545,Drama
tt0080545,Adventure
tt0080545,Drama
tt0080549,Biography
tt0080549,Drama
tt0080549,Music
tt0080556,Drama
tt0080556,Music
tt0080556,Romance
tt0080561,Drama
tt0080562,Comedy
tt0080562,Comedy
tt0080562,Comedy
tt0080562,Comedy
tt0080562,Comedy
tt0080565,Adventure
tt0080565,Comedy
tt0080565,Crime
tt0080565,Adventure
tt0080565,Comedy
tt0080565,Crime
tt0080569,Crime
tt0080569,Drama
tt0080569,Mystery
tt0080603,Adventure
tt0080603,Horror
tt0080603,Mystery
tt0080603,Adventure
tt0080603,Horror
tt0080603,Mystery
tt0080610,Drama
tt0080610,Romance
tt0080610,War
tt0080610,Drama
tt0080610,Romance
tt0080610,War
tt0080611,Comedy
tt0080611,Drama
tt0080619,Comedy
tt0080619,Drama
tt0080630,Comedy
tt0080630,Comedy
tt0080641,Action
tt0080641,Adventure
tt0080641,Drama
tt0080645,Horror
tt0080645,Thriller
tt0080657,Drama
tt0080661,Crime
tt0080661,Drama
tt0080661,Mystery
tt0080671,Adventure
tt0080671,Drama
tt0080671,Adventure
tt0080671,Drama
tt0080678,Biography
tt0080678,Drama
tt0080684,Action
tt0080684,Adventure
tt0080684,Fantasy
tt0080684,Action
tt0080684,Adventure
tt0080684,Fantasy
tt0080707,Action
tt0080707,Crime
tt0080707,Drama
tt0080707,Action
tt0080707,Crime
tt0080707,Drama
tt0080728,Comedy
tt0080728,Romance
tt0080728,Comedy
tt0080728,Romance
tt0080731,Comedy
tt0080731,Crime
tt0080731,Fantasy
tt0080731,Comedy
tt0080731,Crime
tt0080731,Fantasy
tt0080736,Action
tt0080736,Adventure
tt0080736,Sci-Fi
tt0080738,Crime
tt0080738,Thriller
tt0080745,Action
tt0080745,Adventure
tt0080745,Sci-Fi
tt0080749,Horror
tt0080749,Thriller
tt0080750,Comedy
tt0080750,Romance
tt0080750,Sport
tt0080754,Crime
tt0080754,Thriller
tt0080761,Horror
tt0080761,Mystery
tt0080761,Thriller
tt0080787,Horror
tt0080787,Thriller
tt0080801,Adventure
tt0080801,Comedy
tt0080802,Drama
tt0080802,Horror
tt0080813,Comedy
tt0080813,Fantasy
tt0080813,Music
tt0080842,Drama
tt0080842,Fantasy
tt0080842,Horror
tt0080846,Adventure
tt0080846,Fantasy
tt0080850,Horror
tt0080850,Thriller
tt0080851,Drama
tt0080851,Drama
tt0080853,Drama
tt0080853,Horror
tt0080853,Thriller
tt0080854,Drama
tt0080854,Drama
tt0080863,Comedy
tt0080863,Romance
tt0080868,Drama
tt0080874,Drama
tt0080888,Drama
tt0080888,Music
tt0080888,Romance
tt0080889,Adventure
tt0080889,Comedy
tt0080895,Comedy
tt0080895,Crime
tt0080904,Horror
tt0080904,Sci-Fi
tt0080907,Action
tt0080907,Biography
tt0080907,Comedy
tt0080913,Biography
tt0080913,Drama
tt0080913,Music
tt0080917,Comedy
tt0080923,Horror
tt0080929,Comedy
tt0080929,Crime
tt0080934,Action
tt0080934,Adventure
tt0080934,Drama
tt0080936,Comedy
tt0080936,Drama
tt0080950,Comedy
tt0080950,Drama
tt0080951,Comedy
tt0080951,Drama
tt0080951,Romance
