tconst,nconst,category,primaryName,birthYear,deathYear
tt0035423,nm0003506,director,James Mangold,1963,
tt0036606,nm0705535,director,Michael Radford,1946,
tt0048550,nm0139569,director,Paul Carpita,1922,2009
tt0059325,nm0127158,director,Jürgen Böttcher,1931,
tt0062181,nm0804592,director,Jerzy Skolimowski,1938,
tt0062336,nm0749914,director,Raúl Ruiz,1941,2011
tt0062336,nm0765384,director,Valeria Sarmiento,1948,
tt0065530,nm0195327,director,Claude d'Anna,1945,
tt0066151,nm0061792,director,Godfrey Ho,1948,
tt0067100,nm0379391,director,Cirio H. Santiago,1936,2008
tt0067625,nm0314516,director,Aleksei German,1938,2013
tt0069049,nm0000080,director,Orson Welles,1915,1985
tt0073537,nm0385089,director,William Byron Hillman,1940,
tt0075035,nm0723260,director,Tonino Ricci,1927,2014
tt0075745,nm0001699,director,Telly Savalas,1922,1994
tt0075788,nm0387337,director,Leonard Ho,1925,1997
tt0075816,nm0760072,director,Salvatore Samperi,1943,2009
tt0076043,nm0515491,director,Carlo Lizzani,1922,2013
tt0076276,nm0797672,director,Slobodan Sijan,1946,
tt0076396,nm0601077,director,Michael D. Moore,1914,2013
tt0076709,nm0628838,director,See-Yuen Ng,1944,
tt0076733,nm0786891,director,Delphine Seyrig,1932,1990
tt0077428,nm0004654,director,Nicolas Gessner,1931,2023
tt0077472,nm0875571,director,Lu-Po Tu,,
tt0077567,nm0283241,director,Calvin Floyd,1931,2014
tt0077645,nm0398969,director,Bruce Le,1950,
tt0077722,nm0733846,director,Paulo Rocha,1935,2012
tt0077731,nm0080636,director,Mario Bianchi,1939,2022
tt0078053,nm0001238,director,Jesús Franco,1930,2013
tt0078178,nm0659739,director,Robert Pansard-Besson,1950,2011
tt0078349,nm0944760,director,Kimio Yabuki,,
tt0078356,nm0423524,director,Alejandro Jodorowsky,1929,
tt0078393,nm0490541,director,Chun-Ku Lu,1946,
tt0078428,nm0151653,director,Cheh Chang,1923,2002
tt0078726,nm0398771,director,Hsueh-Li Pao,1936,
tt0078749,nm0409723,director,Ciro Ippolito,1947,
tt0078785,nm0631230,director,Edouard Niermans,1943,
tt0078806,nm0250006,director,George Edwards,1924,1991
tt0078813,nm0000086,director,Louis de Funès,1914,1983
tt0078813,nm0320833,director,Jean Girault,1924,1982
tt0078853,nm0926872,director,Wigbert Wicker,1939,
tt0078868,nm0843640,director,István Szabó,1938,
tt0078871,nm0837208,director,Liliek Sudjio,,
tt0078880,nm0957263,director,Joseph Zito,1946,
tt0078895,nm0500609,director,Christopher Leitch,,
tt0078923,nm0007069,director,Pierre Richard,1934,
tt0078926,nm0275269,director,Pasquale Festa Campanile,1927,1986
tt0078935,nm0219959,director,Ruggero Deodato,1939,2022
tt0078936,nm0001238,director,Jesús Franco,1930,2013
tt0078936,nm0698779,director,Francesco Prosperi,1926,2004
tt0078962,nm0001031,director,Claude Chabrol,1930,2010
tt0079007,nm0592636,director,Pilar Miró,1940,1997
